Mass_0_X,Mass_0_Y,Mass_1_X,Mass_1_Y,Mass_2_X,Mass_2_Y,Mass_3_X,Mass_3_Y,Mass_4_X,Mass_4_Y,Mass_5_X,Mass_5_Y,Mass_6_X,Mass_6_Y,Mass_7_X,Mass_7_Y,Mass_8_X,Mass_8_Y,Mass_9_X,Mass_9_Y,Mass_10_X,Mass_10_Y,Mass_11_X,Mass_11_Y,Mass_12_X,Mass_12_Y,Mass_13_X,Mass_13_Y,Mass_14_X,Mass_14_Y,Mass_15_X,Mass_15_Y
0.0,-0.06974379652413533,1.0,-0.06974379652413533,2.0,-0.06974379652413533,3.0,-0.06974379652413533,0.0,0.9306328081842696,1.0,0.9306328081842696,2.0,0.9306328081842696,3.0,0.9306328081842696,0.0,1.9381518589035067,1.0,1.9381518589035067,2.0,1.9381518589035067,3.0,1.9381518589035067,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.0808381465023313,1.0,-0.0808381465023313,2.0,-0.0808381465023313,3.0,-0.0808381465023313,0.0,0.9197456952234856,1.0,0.9197456952234856,2.0,0.9197456952234856,3.0,0.9197456952234856,0.0,1.9296657228013043,1.0,1.9296657228013043,2.0,1.9296657228013043,3.0,1.9296657228013043,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.09266626783205034,1.0,-0.09266626783205034,2.0,-0.09266626783205034,3.0,-0.09266626783205034,0.0,0.9082064391432668,1.0,0.9082064391432668,2.0,0.9082064391432668,3.0,0.9082064391432668,0.0,1.9209799890674304,1.0,1.9209799890674304,2.0,1.9209799890674304,3.0,1.9209799890674304,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.1052106542068169,1.0,-0.1052106542068169,2.0,-0.1052106542068169,3.0,-0.1052106542068169,0.0,0.8960532164455511,1.0,0.8960532164455511,2.0,0.8960532164455511,3.0,0.8960532164455511,0.0,1.9121558053261165,1.0,1.9121558053261165,2.0,1.9121558053261165,3.0,1.9121558053261165,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.11845314692169491,1.0,-0.11845314692169491,2.0,-0.11845314692169491,3.0,-0.11845314692169491,0.0,0.883327097640426,1.0,0.883327097640426,2.0,0.883327097640426,3.0,0.883327097640426,0.0,1.9032497929964034,1.0,1.9032497929964034,2.0,1.9032497929964034,3.0,1.9032497929964034,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.13237472338556658,1.0,-0.13237472338556658,2.0,-0.13237472338556658,3.0,-0.13237472338556658,0.0,0.8700719172291833,1.0,0.8700719172291833,2.0,0.8700719172291833,3.0,0.8700719172291833,0.0,1.8943134305274312,1.0,1.8943134305274312,2.0,1.8943134305274312,3.0,1.8943134305274312,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.14695527124213628,1.0,-0.14695527124213628,2.0,-0.14695527124213628,3.0,-0.14695527124213628,0.0,0.8563340501784638,1.0,0.8563340501784638,2.0,0.8563340501784638,3.0,0.8563340501784638,0.0,1.8853925768583468,1.0,1.8853925768583468,2.0,1.8853925768583468,3.0,1.8853925768583468,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.1621733527916527,1.0,-0.1621733527916527,2.0,-0.1621733527916527,3.0,-0.1621733527916527,0.0,0.8421620986802996,1.0,0.8421620986802996,2.0,0.8421620986802996,3.0,0.8421620986802996,0.0,1.8765271394479695,1.0,1.8765271394479695,2.0,1.8765271394479695,3.0,1.8765271394479695,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.17800596528575366,1.0,-0.17800596528575366,2.0,-0.17800596528575366,3.0,-0.17800596528575366,0.0,0.8276064961871966,1.0,0.8276064961871966,2.0,0.8276064961871966,3.0,0.8276064961871966,0.0,1.8677508874196864,1.0,1.8677508874196864,2.0,1.8677508874196864,3.0,1.8677508874196864,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.1944283034075377,1.0,-0.1944283034075377,2.0,-0.1944283034075377,3.0,-0.1944283034075377,0.0,0.8127190386555992,1.0,0.8127190386555992,2.0,0.8127190386555992,3.0,0.8127190386555992,0.0,1.8590914067011777,1.0,1.8590914067011777,2.0,1.8590914067011777,3.0,1.8590914067011777,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.2114135308146673,1.0,-0.2114135308146673,2.0,-0.2114135308146673,3.0,-0.2114135308146673,0.0,0.7975523555292617,1.0,0.7975523555292617,2.0,0.7975523555292617,3.0,0.7975523555292617,0.0,1.8505701906045209,1.0,1.8505701906045209,2.0,1.8505701906045209,3.0,1.8505701906045209,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.2289325679874838,1.0,-0.2289325679874838,2.0,-0.2289325679874838,3.0,-0.2289325679874838,0.0,0.782159335163018,1.0,0.782159335163018,2.0,0.782159335163018,3.0,0.782159335163018,0.0,1.8422028561781354,1.0,1.8422028561781354,2.0,1.8422028561781354,3.0,1.8422028561781354,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.24695390376596904,1.0,-0.24695390376596904,2.0,-0.24695390376596904,3.0,-0.24695390376596904,0.0,0.7665925210591724,1.0,0.7665925210591724,2.0,0.7665925210591724,3.0,0.7665925210591724,0.0,1.8339994739437837,1.0,1.8339994739437837,2.0,1.8339994739437837,3.0,1.8339994739437837,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.2654434378655982,1.0,-0.2654434378655982,2.0,-0.2654434378655982,3.0,-0.2654434378655982,0.0,0.7509034964123865,1.0,0.7509034964123865,2.0,0.7509034964123865,3.0,0.7509034964123865,0.0,1.8259649963712008,1.0,1.8259649963712008,2.0,1.8259649963712008,3.0,1.8259649963712008,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.2843643613273105,1.0,-0.2843643613273105,2.0,-0.2843643613273105,3.0,-0.2843643613273105,0.0,0.7351422750022085,1.0,0.7351422750022085,2.0,0.7351422750022085,3.0,0.7351422750022085,0.0,1.8180997686860354,1.0,1.8180997686860354,2.0,1.8180997686860354,3.0,1.8180997686860354,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.3036770812837593,1.0,-0.3036770812837593,2.0,-0.3036770812837593,3.0,-0.3036770812837593,0.0,0.7193567164223063,1.0,0.7193567164223063,2.0,0.7193567164223063,3.0,0.7193567164223063,0.0,1.8104001043833486,1.0,1.8104001043833486,2.0,1.8104001043833486,3.0,1.8104001043833486,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.32333919562355967,1.0,-0.32333919562355967,2.0,-0.32333919562355967,3.0,-0.32333919562355967,0.0,0.7035919829985008,1.0,0.7035919829985008,2.0,0.7035919829985008,3.0,0.7035919829985008,0.0,1.8028589071417407,1.0,1.8028589071417407,2.0,1.8028589071417407,3.0,1.8028589071417407,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.34330552212606785,1.0,-0.34330552212606785,2.0,-0.34330552212606785,3.0,-0.34330552212606785,0.0,0.687890054549279,1.0,0.687890054549279,2.0,0.687890054549279,3.0,0.687890054549279,0.0,1.7954663206983719,1.0,1.7954663206983719,2.0,1.7954663206983719,3.0,1.7954663206983719,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.36352818544710747,1.0,-0.36352818544710747,2.0,-0.36352818544710747,3.0,-0.36352818544710747,0.0,0.6722893154258843,1.0,0.6722893154258843,2.0,0.6722893154258843,3.0,0.6722893154258843,0.0,1.7882103886327654,1.0,1.7882103886327654,2.0,1.7882103886327654,3.0,1.7882103886327654,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
0.0,-0.38395676399317097,1.0,-0.38395676399317097,2.0,-0.38395676399317097,3.0,-0.38395676399317097,0.0,0.6568242260938297,1.0,0.6568242260938297,2.0,0.6568242260938297,3.0,0.6568242260938297,0.0,1.7810777068824424,1.0,1.7810777068824424,2.0,1.7810777068824424,3.0,1.7810777068824424,0.0,3.0,1.0,3.0,2.0,3.0,3.0,3.0
